command,description
info,Print session information [alias: i]
env,Display environment information [alias: e]
provider,Switch the providers [alias: p]
model,Switch the models [alias: m]
new,Start new conversation [alias: n]
dump,Save conversation as JSON or HTML (use /dump html for HTML format) [alias: d]
conversation,List all conversations for the active workspace [alias: c]
retry,Retry the last command [alias: r]
compact,Compact the conversation context
edit,Use an external editor to write a prompt
tools,List all available tools with their descriptions and schema [alias: t]
skill,List all available skills
commit,Generate AI commit message and commit changes.
suggest,Generate shell commands without executing them [alias: s]
login,Login to a provider
logout,Logout from a provider
